Datetime (UTC),Carbon intensity gCO₂eq/kWh (direct),Carbon-free energy percentage (CFE%),hour,month,month_name,date,vulnerability_score,vulnerability_event,grid_status
2025-01-01 00:00:00,445.63,22.53,0,1,Jan,2025-01-01,86.5,True,CRITICAL
2025-01-01 01:00:00,426.68,26.47,1,1,Jan,2025-01-01,81.8,True,CRITICAL
2025-01-01 02:00:00,409.45,30.09,2,1,Jan,2025-01-01,77.4,True,CRITICAL
2025-01-01 03:00:00,382.98,33.7,3,1,Jan,2025-01-01,71.5,False,CRITICAL
2025-01-01 04:00:00,358.95,37.38,4,1,Jan,2025-01-01,65.9,False,WARNING
2025-01-01 05:00:00,339.23,41.17,5,1,Jan,2025-01-01,61.1,False,WARNING
2025-01-01 06:00:00,315.34,44.17,6,1,Jan,2025-01-01,55.8,False,WARNING
2025-01-01 07:00:00,304.72,45.73,7,1,Jan,2025-01-01,53.4,False,WARNING
2025-01-01 08:00:00,297.03,46.92,8,1,Jan,2025-01-01,51.6,False,WARNING
2025-01-01 09:00:00,299.94,46.42,9,1,Jan,2025-01-01,52.3,False,WARNING
2025-01-01 10:00:00,307.14,44.99,10,1,Jan,2025-01-01,54.1,False,WARNING
2025-01-01 11:00:00,320.01,42.64,11,1,Jan,2025-01-01,57.2,False,WARNING
2025-01-01 12:00:00,322.05,42.18,12,1,Jan,2025-01-01,57.7,False,WARNING
2025-01-01 13:00:00,332.76,40.41,13,1,Jan,2025-01-01,60.2,False,WARNING
2025-01-01 14:00:00,286.14,49.45,14,1,Jan,2025-01-01,48.8,False,WARNING
2025-01-01 15:00:00,215.35,62.92,15,1,Jan,2025-01-01,31.5,False,STABLE
2025-01-01 16:00:00,198.68,66.2,16,1,Jan,2025-01-01,27.4,False,STABLE
2025-01-01 17:00:00,205.27,64.93,17,1,Jan,2025-01-01,29.0,False,STABLE
2025-01-01 18:00:00,214.48,63.43,18,1,Jan,2025-01-01,31.2,False,STABLE
2025-01-01 19:00:00,216.88,63.37,19,1,Jan,2025-01-01,31.6,False,STABLE
2025-01-01 20:00:00,216.54,63.69,20,1,Jan,2025-01-01,31.5,False,STABLE
2025-01-01 21:00:00,219.61,62.61,21,1,Jan,2025-01-01,32.4,False,STABLE
2025-01-01 22:00:00,296.06,46.26,22,1,Jan,2025-01-01,51.7,False,WARNING
2025-01-01 23:00:00,429.52,25.37,23,1,Jan,2025-01-01,82.6,True,CRITICAL
2025-01-02 00:00:00,450.6,22.65,0,1,Jan,2025-01-02,87.3,True,CRITICAL
2025-01-02 01:00:00,447.03,23.62,1,1,Jan,2025-01-02,86.4,True,CRITICAL
2025-01-02 02:00:00,430.66,26.62,2,1,Jan,2025-01-02,82.4,True,CRITICAL
2025-01-02 03:00:00,416.96,29.92,3,1,Jan,2025-01-02,78.8,True,CRITICAL
2025-01-02 04:00:00,391.09,36.59,4,1,Jan,2025-01-02,71.9,False,CRITICAL
2025-01-02 05:00:00,337.08,45.21,5,1,Jan,2025-01-02,59.3,False,WARNING
2025-01-02 06:00:00,303.32,49.28,6,1,Jan,2025-01-02,51.9,False,WARNING
2025-01-02 07:00:00,282.41,51.74,7,1,Jan,2025-01-02,47.3,False,WARNING
2025-01-02 08:00:00,282.11,51.73,8,1,Jan,2025-01-02,47.3,False,WARNING
2025-01-02 09:00:00,284.76,51.18,9,1,Jan,2025-01-02,47.9,False,WARNING
2025-01-02 10:00:00,288.22,50.69,10,1,Jan,2025-01-02,48.7,False,WARNING
2025-01-02 11:00:00,298.63,49.41,11,1,Jan,2025-01-02,51.0,False,WARNING
2025-01-02 12:00:00,330.96,45.93,12,1,Jan,2025-01-02,58.0,False,WARNING
2025-01-02 13:00:00,344.99,44.77,13,1,Jan,2025-01-02,60.9,False,WARNING
2025-01-02 14:00:00,309.94,49.61,14,1,Jan,2025-01-02,53.0,False,WARNING
2025-01-02 15:00:00,270.66,54.59,15,1,Jan,2025-01-02,44.3,False,WARNING
2025-01-02 16:00:00,294.86,51.26,16,1,Jan,2025-01-02,49.7,False,WARNING
2025-01-02 17:00:00,307.04,49.67,17,1,Jan,2025-01-02,52.4,False,WARNING
2025-01-02 18:00:00,325.23,47.48,18,1,Jan,2025-01-02,56.4,False,WARNING
2025-01-02 19:00:00,342.06,44.73,19,1,Jan,2025-01-02,60.4,False,WARNING
2025-01-02 20:00:00,349.17,43.23,20,1,Jan,2025-01-02,62.2,False,WARNING
2025-01-02 21:00:00,367.08,39.72,21,1,Jan,2025-01-02,66.6,False,WARNING
2025-01-02 22:00:00,401.03,31.55,22,1,Jan,2025-01-02,75.4,True,CRITICAL
